Frame,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,Time (s)
0,-2.33825052000266,-7.47087788905202,48.714191186879,-1.29622876699833,-2.80663643486078,70.4468614927842,3.19622233479948,10.097501918971,16.7685601783667,0,0,0,4.89059523825921,-1.80461706797049,38.3346421570406,-5.04407620782514,0.263610971160125,81.2797740231625,-3.20827763433725,9.68796589566855,-2.81278049017473,0,0,0,-1.03720900629337,2.93124724031435,-2.98007351826499,-0.857476331047363,22.7881395544387,-3.85547154882134,-0.833397250576779,25.7881233044318,-4.17082250752638,0.0
1,-2.31674950272257,-7.44077593047753,47.9768898267178,-1.29223706977306,-2.8449081211467,69.1216113559458,3.2280541053984,10.1551772638072,16.1067997048635,0,0,0,4.89836265164563,-1.5471773484053,38.8757119786449,-5.40553757009228,0.178818492180483,82.3592501198764,-3.03984469692298,9.85339599979199,-2.50846569030841,0,0,0,-0.948722394486575,2.95322238102044,-2.93381346577609,-0.818497642293118,22.7833913256782,-3.79544141125126,-0.818137239536862,25.7712163625606,-4.1120803768541,0.004166666666666667
2,-2.29755334064956,-7.40646002795448,47.23502476324,-1.29508800472791,-2.89698812749007,67.7803945663648,3.2557229802959,10.224395478545,15.4551648687847,0,0,0,4.90032735088438,-1.29449131415101,39.4117219298833,-5.76747518741619,0.0871049811177945,83.4545836058313,-2.86743633133746,10.0323471343884,-2.20974610799964,0,0,0,-0.859479337451941,2.97422877925706,-2.88898089831464,-0.778920467014272,22.7776231466524,-3.73631580570195,-0.80232183371054,25.7532764550556,-4.0540564482191,0.008333333333333333
3,-2.27962610243107,-7.36960045639749,46.4899627036554,-1.30259480220089,-2.95876555338982,66.4279909134874,3.28090484232715,10.3015865469753,14.8106151793879,0,0,0,4.89768802761348,-1.04542689309856,39.9442604420087,-6.12979916004655,-0.00684691713941114,84.5613376887527,-2.69222113780715,10.2206278299017,-1.914649857329,0,0,0,-0.769702719130553,2.99453786313877,-2.84513881989457,-0.738928212385728,22.7711297100362,-3.67782670347478,-0.786125605296426,25.7346087937752,-3.99654048430522,0.0125
4,-2.26199179709183,-7.33189286995184,45.7430773495177,-1.31269776303731,-3.0260514818542,65.069183590296,3.30520528054558,10.3831715390437,14.1701134109937,0,0,0,4.89160204232466,-0.798836391946315,40.4749322672856,-6.49227901883153,-0.0984404095892328,85.6751037894023,-2.51541633451867,10.4141006903122,-1.62124506468822,0,0,0,-0.679614617283243,3.01442006648634,-2.80184953054897,-0.698703482850476,22.7642057227441,-3.61970536685927,-0.769722440477125,25.7155188095515,-3.93932170936481,0.016666666666666666
5,-2.24373554900389,-7.2950569459118,44.9957495628261,-1.32347332403381,-3.09457900282297,63.7087610866365,3.33017000275174,10.4655665481207,13.5306291577297,0,0,0,4.88318608629915,-0.553557892735872,41.005357177295,-6.85453944846582,-0.183166380140811,86.7915010698107,-2.33829910677313,10.6086862460798,-1.32764254318245,0,0,0,-0.589436341627133,3.03414479500573,-2.75867460955429,-0.658428101606101,22.7571458898017,-3.56168234174444,-0.753285555451922,25.6963121407006,-3.88218880198944,0.020833333333333332
6,-2.2240042981585,-7.26083476809823,44.2493672042156,-1.3331396536854,-3.1600054931894,62.3515178505913,3.35728948396309,10.545184774819,12.8891401896756,0,0,0,4.87351646117353,-0.308416373357742,41.5371690308204,-7.21606160639377,-0.256605738662805,87.9061749692992,-2.16221110704988,10.8003647560645,-1.03199749142112,0,0,0,-0.499388451801681,3.05398040942898,-2.71517490818548,-0.618283121084177,22.7502449061209,-3.50348745464182,-0.736987504507238,25.6772946272944,-3.82492989275841,0.025
7,-2.20200701031306,-7.23098898155388,43.5053246654784,-1.34005859827744,-3.21791690622912,61.0022537955297,3.38799786994204,10.6184369605841,12.2426316424448,0,0,0,4.86362896536573,-0.0622245733824343,42.0720151997849,-7.57618991824323,-0.314431995219158,89.0147946429679,-1.98855627792456,10.9851758744529,-0.732510046621352,0,0,0,-0.409690755259579,3.07419422556091,-2.67091055182235,-0.578448822319596,22.7437974561576,-3.44484981402545,-0.721000180016514,25.6587723111873,-3.76733256669713,0.029166666666666667
8,-2.17701438325773,-7.20730075135935,42.7650221206926,-1.34273381020997,-3.26383380965483,59.6657727464761,3.42366616292694,10.6817303661558,11.5880930697002,0,0,0,4.85451837793084,0.186216372386875,42.6115563404757,-7.93414422197729,-0.35241376913816,90.1130492312538,-1.81879217784187,11.1592160992527,-0.427424522067106,0,0,0,-0.320562285178653,3.09505253117724,-2.62544095123022,-0.539104703107394,22.738098221433,-3.38549781589638,-0.705494804261456,25.6410514417918,-3.70918387047823,0.03333333333333333
9,-2.14835803753091,-7.1915675590947,42.029864521853,-1.33980490965207,-3.29321890525119,58.3468799299519,3.46558971461219,10.7314665011321,10.922513400852,0,0,0,4.84713753142322,0.4381165091908,43.1574664961309,-8.28903712585666,-0.366416964770014,91.1966429330838,-1.6544149864981,11.3186339438981,-0.115027181095573,0,0,0,-0.232221258490479,3.11682061971592,-2.57832482283674,-0.500429454844785,22.7334418958979,-3.32515915347712,-0.690641912967506,25.6244384875951,-3.65027032429755,0.0375
10,-2.11542918235071,-7.18560087087746,41.3012603659968,-1.33003755598569,-3.30148576548111,57.0503786144014,3.51497004034069,10.7640378416504,10.242873874788,0,0,0,4.84239596605131,0.694696821833054,43.711433515782,-8.6398964412513,-0.35240638052932,92.2612889069819,-1.4969383510141,11.4596228207252,0.206357558369138,0,0,0,-0.144885014119688,3.13976284069439,-2.5291202178221,-0.462600927956186,22.7301232091137,-3.26356083093736,-0.676611330447797,25.6092401534063,-3.59037793835397,0.041666666666666664
11,-2.07767675025611,-7.19122371092106,40.58062026132,-1.31230933572937,-3.28400853476015,55.7810660019793,3.57289094978512,10.7758238242234,9.54613906567312,0,0,0,4.84115815786335,0.957189152572758,44.2751597729872,-8.9856925514025,-0.306446564127007,93.3027020820736,-1.3478662055812,11.5784116926355,0.538372535077037,0,0,0,-0.0587699315247466,3.16414266677101,-2.47738455983207,-0.425796085798673,22.7284369572204,-3.20042918104482,-0.663572136251763,25.5957634033199,-3.52929223385701,0.04583333333333333
12,-2.0346049968972,-7.21026817410748,39.869355319616,-1.28559140747033,-3.23613236613493,54.543728455526,3.64028896491717,10.7631864760444,8.82924617966126,0,0,0,4.84424131393891,1.22683625001843,44.8503631666781,-9.32537058203686,-0.224701784143825,94.3165910221547,-1.20865965592427,11.6712536358136,0.882634841715247,0,0,0,0.0259086703736399,3.19022277734942,-2.42267469111144,-0.390190946944728,22.7286780416523,-3.13548988662421,-0.651692623216881,25.5843154893741,-3.4667982684781,0.05
13,-1.98577056550815,-7.24457291010907,39.1688754014943,-1.24892588063444,-3.1531843983455,53.3431361161595,3.71791796827165,10.7224661371435,8.0890928832831,0,0,0,4.85241272763238,1.50489191986759,45.4387783847059,-9.65788724935709,-0.103435056088458,95.2986490488517,-1.08069796671985,11.7344125613226,1.24074428616824,0,0,0,0.108936653796597,3.21826515859948,-2.36454692684104,-0.355960515738013,22.7311415155507,-3.06846800569388,-0.641140246824764,25.575203985877,-3.40268066615193,0.05416666666666667
14,-1.92861624959441,-7.30203801322595,38.4151518362892,-1.19507759920347,-3.01269648663059,52.0668787511189,3.81355775357466,10.6355018097474,7.25274776559052,0,0,0,4.86677240524784,1.81662644779153,46.0962960824072,-10.0097724787497,0.0765993194713531,96.3397216223564,-0.951324416075743,11.7677709144159,1.64120580841668,0,0,0,0.197486832353964,3.25135853711642,-2.29623252869843,-0.320351211995246,22.7366105622295,-2.99248065716012,-0.631370353290649,25.5681650865156,-3.3306150234073,0.058333333333333334
15,-1.86964546663229,-7.38021409419896,37.6607573837172,-1.12724298756529,-2.81852636067497,50.7994994897714,3.91857867465999,10.5018873924664,6.37936561447834,0,0,0,4.88526188077939,2.13828620765887,46.7756282862198,-10.3532454765522,0.30409998853211,97.3707014804152,-0.827498363605084,11.7688252531974,2.0504782428995,0,0,0,0.28515281716426,3.28721874746504,-2.22204614471401,-0.285991046151042,22.7447816372781,-2.91271481739845,-0.623201414532311,25.5637899816704,-3.25565539121498,0.0625
16,-1.8089952608833,-7.47602715967817,36.9083413496077,-1.04946777524904,-2.58012167453247,49.5460227466843,4.02987812556897,10.3306295253565,5.47574697712406,0,0,0,4.90667127428112,2.46827341024299,47.4726393301054,-10.6881647650396,0.572444715254719,98.3884562715848,-0.709449148128875,11.7420213872919,2.46850101645409,0,0,0,0.371884015177811,3.32532868884783,-2.14317403788276,-0.252756230280994,22.7552387091337,-2.82996191991364,-0.616387131027154,25.5617086802351,-3.17840391469424,0.06666666666666667
17,-1.74668279159445,-7.58636634946241,36.1605439953185,-0.965533285693931,-2.30712293621982,48.3114822842956,4.14467765718115,10.130805300231,4.54874239803933,0,0,0,4.92987682320683,2.80499864922923,48.1831691704495,-11.014622348078,0.87497796052423,99.3897878934412,-0.597410154192382,11.6917959369657,2.89524789935005,0,0,0,0.45762741695876,3.36517524824469,-2.06080434319423,-0.220524379075546,22.7675664566109,-2.74501448023273,-0.610682046444434,25.5615508942001,-3.0994633629932,0.07083333333333333
18,-1.68259903835834,-7.70808668106467,35.4199956173836,-0.878954047996002,-2.00935320194689,47.100932183664,4.26060818468664,9.91156153764561,3.60527615207873,0,0,0,4.95384669103474,3.14688232122279,48.9030317171354,-11.3329268976742,1.20501553517184,100.371441895261,-0.491638609447399,11.6225757174371,3.33072729403865,0,0,0,0.542327206646581,3.40624922863648,-1.97612705314539,-0.189174742841715,22.7813501796362,-2.65866613035284,-0.605841702587733,25.5629459442099,-3.01943711960232,0.075
19,-1.61650480415863,-7.83801215288906,34.6893159444606,-0.79297996126025,-1.69680504534497,45.9194545286842,4.37577742171175,9.68210717521344,2.65236124725004,0,0,0,4.97764504424784,3.49235640586359,49.6280139765496,-11.6435864017761,1.55584890605847,101.330116601995,-0.392434864663179,11.538776832586,3.77498156868525,0,0,0,0.625924479785819,3.44804526702842,-1.89033399459252,-0.158588382255862,22.7961757258526,-2.57171163943875,-0.601622759056822,25.5655226885066,-2.93892917186819,0.07916666666666666
20,-1.54802906661513,-7.97293903381094,33.9711139561225,-0.710603332297359,-1.37962502674914,44.7721641708743,4.48881908399097,9.45169991041945,1.69710668731524,0,0,0,5.00043443518451,3.83986645104068,50.3538759289075,-11.9472901856191,1.92074902134331,102.262471562901,-0.300161193638386,11.4448033829433,4.22808550151926,0,0,0,0.708357067992325,3.49006174125116,-1.80461879620053,-0.128648284767033,22.8116294327655,-2.48494692049608,-0.597783077432041,25.5689094751413,-2.85854409959586,0.08333333333333333
21,-1.47666971692091,-8.10963916456636,33.2679882389509,-0.63457108977872,-1.06809587292119,43.6642109914332,4.59892336973144,9.2296285742635,0.746718401884162,0,0,0,5.02147653685216,4.18787360039919,51.076351057151,-12.2448902479175,2.29296951409642,103.165134974035,-0.215260153007284,11.345045700349,4.69014384940902,0,0,0,0.789559469447736,3.53180066439018,-1.72017684563906,-0.0992394225059083,22.8272980850549,-2.39916902266845,-0.59408176976283,25.5727341173121,-2.77888706258283,0.0875
22,-1.40179671545401,-8.24486309841761,32.5825280020329,-0.567402441673626,-0.772616565176838,42.6007801076241,4.70584826485456,9.0251929837089,-0.191504439419666,0,0,0,5.04013128441857,4.53485649689431,51.7911474418655,-12.5373818790938,2.66574914493392,104.034709771521,-0.138272540578206,11.2438780276066,5.16128800413399,0,0,0,0.869462884238366,3.57276756562871,-1.63820523561813,-0.0702487515268109,22.8427688866466,-2.31517610875807,-0.590279211130009,25.5766238916617,-2.70056378689603,0.09166666666666666
23,-1.32265768381477,-8.37534291497201,31.917314876182,-0.511412191327751,-0.503680518255722,41.587090477009,4.80991132123654,8.84768321212414,-1.11017582877861,0,0,0,5.05585448602402,4.87931289709396,52.4939493363517,-12.8258835498633,3.03231335332738,104.867778141989,-0.0698549856692546,11.1456555663375,5.64167165260167,0,0,0,0.947995353580425,3.61247135628638,-1.55990269785029,-0.0415651521997915,22.8576294471281,-2.23376741754855,-0.586137016049227,25.580205559362,-2.62418054968661,0.09583333333333334
24,-1.23838594584742,-8.49779455161313,31.2749256189405,-0.468739864667342,-0.271852008755548,40.6283923318851,4.91196169220779,8.70636031112181,-2.00183009320673,0,0,0,5.06819397204814,5.21976083620756,53.1804191382432,-13.1116160735148,3.38587480228251,105.660904247095,-0.0107971959321684,11.0547108206624,6.13146531281878,0,0,0,1.02508200200106,3.65042417989352,-1.48646952406986,-0.0130793105764355,22.8714677821101,-2.15574321051614,-0.581417978490453,25.5831054098158,-2.55034416233518,0.1
25,-1.14801102576082,-8.60891951151623,30.6579358407367,-0.441384730416506,-0.0877409769478935,39.7299638249168,5.01333235655702,8.61044050277587,-2.85892799476893,0,0,0,5.07678435628797,5.55473919327225,53.8461996788575,-13.3958810531935,3.71963282079128,106.410635009941,0.0379611278111356,10.9753491690633,6.63084957593182,0,0,0,1.10064538157423,3.68614124525944,-1.41910747333024,0.0153164594230504,22.8838723271674,-2.0819047025515,-0.575885975305953,25.5849493268195,-2.47966195173338,0.10416666666666667
26,-1.04764614178759,-8.71011548516445,30.0603797773033,-0.432050829557493,0.0504609177740681,38.8783742157655,5.11911683184758,8.55836894339823,-3.70489394526633,0,0,0,5.0821322688085,5.89137406418704,54.5005878788387,-13.6815324835567,4.04443046928057,107.124796214167,0.0755272337712372,10.8999675609269,7.1490148359671,0,0,0,1.17482519986102,3.72069405219364,-1.3550935874195,0.0436913508360848,22.8954864330793,-2.00993749291435,-0.569554740811804,25.5861869480569,-2.41002654379555,0.10833333333333334
27,-0.935591680579272,-8.80590412707969,29.4755923583346,-0.439555729903426,0.154862925279428,38.0594276694292,5.23301969049537,8.53893787105236,-4.56257269593015,0,0,0,5.08501644293746,6.23585040154957,55.154210885973,-13.9696215202534,4.37405291266404,107.812033667116,0.102577993711595,10.8189262046155,7.69167022697783,0,0,0,1.24778916874055,3.75530372089789,-1.29138831851407,0.07196968959835,22.9071702280087,-1.93749604252059,-0.562691424082734,25.5875113367752,-2.33943468472386,0.1125
28,-0.814096316218701,-8.89760602809609,28.9051101249257,-0.460011393308305,0.230408364054411,37.2772538122013,5.35446331487145,8.5468702447292,-5.42351810202793,0,0,0,5.08561144642502,6.58532796123721,55.8046841136126,-14.2588383938638,4.70603612023712,108.47007783631,0.120373344725611,10.7334360502096,8.25377734446832,0,0,0,1.31949904557268,3.78971351433838,-1.2287201807955,0.100040310042777,22.9188383536654,-1.86533579532607,-0.555440805866052,25.5889136080402,-2.2686502802725,0.11666666666666667
